step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss
7550,train,2.069979613,0.0009930955838,0.1598858237,185548800,1172.534368,6.439043671,158245.9373,,,,,,,
7600,train,2.056747286,0.0009929931475,0.193467617,186777600,1179.885367,6.441303717,158301.4802,,,,,,,
7650,train,2.048139637,0.0009928899623,0.1921172738,188006400,1187.421196,6.442532795,158331.686,,,,,,,
7700,train,2.053410685,0.0009927860285,0.172928378,189235200,1195.314949,6.441816867,158314.0913,,,,,,,
7750,train,2.051034307,0.0009926813461,0.1941663325,190464000,1203.235616,6.440966254,158293.1867,,,,,,,
7800,train,2.058720553,0.0009925759154,0.1687670499,191692800,1211.582298,6.437862299,158216.9039,,,,,,,
7850,train,2.047751005,0.0009924697365,0.1829800755,192921600,1219.510179,6.437010643,158195.9736,,,,,,,
7900,train,2.045290427,0.0009923628096,0.160374403,194150400,1227.187974,6.437481599,158207.5478,,,,,,,
7950,train,2.027050862,0.0009922551348,0.1688201129,195379200,1234.89017,6.437819486,158215.8517,,,,,,,
8000,train,2.053963468,0.0009921467123,0.1585209221,196608000,1242.603288,6.438096596,158222.6619,,,,,,,
8050,train,2.049263957,0.0009920375423,0.1449120194,197836800,1250.578014,6.437023448,158196.2882,,,,,,,
8100,train,2.054206631,0.000991927625,0.1813952476,199065600,1258.880963,6.434285877,158129.0097,,,,,,,
8150,train,2.056478353,0.0009918169605,0.1591262966,200294400,1266.982268,6.432607783,158087.7689,,,,,,,
8200,train,2.063867612,0.0009917055489,0.211185649,201523200,1274.607275,6.433354147,158106.1115,,,,,,,
8250,train,2.065711939,0.0009915933906,0.1648563147,202752000,1282.785562,6.431316538,158056.0352,,,,,,,
8300,train,2.016845777,0.0009914804855,0.138372615,203980800,1290.971943,6.429264436,158005.6028,,,,,,,
8350,train,2.042927053,0.000991366834,0.1743393838,205209600,1299.108991,6.427482264,157961.8041,,,,,,,
8400,train,2.038416696,0.0009912524362,0.1877146959,206438400,1307.096882,6.426455543,157936.5714,,,,,,,
8450,train,2.047794144,0.0009911372922,0.148460418,207667200,1314.994558,6.425882107,157922.4787,,,,,,,
8500,train,2.055999606,0.0009910214023,0.2111485302,208896000,1323.15353,6.424046647,157877.3704,,,,,,,
8550,train,2.043929994,0.0009909047666,0.1766644865,210124800,1331.307141,6.422259551,157833.4507,,,,,,,
8600,train,2.040457976,0.0009907873853,0.153526634,211353600,1339.228069,6.421609731,157817.4807,,,,,,,
8650,train,2.060112939,0.0009906692586,0.1563291401,212582400,1347.02171,6.421574306,157816.6101,,,,,,,
8700,train,2.050923331,0.0009905503866,0.1808104813,213811200,1354.831979,6.421460475,157813.8126,,,,,,,
8750,train,2.02753736,0.0009904307696,0.1701392531,215040000,1362.465901,6.422179076,157831.473,,,,,,,
8800,train,2.040987146,0.0009903104078,0.1615751833,216268800,1369.975567,6.423472221,157863.2533,,,,,,,
8850,train,2.022493794,0.0009901893012,0.1476479024,217497600,1377.78308,6.423362376,157860.5537,,,,,,,
8900,train,2.035530741,0.0009900674502,0.1494133025,218726400,1385.558582,6.42340217,157861.5317,,,,,,,
8950,train,2.034397163,0.0009899448549,0.1457628459,219955200,1393.034131,6.424824632,157896.4902,,,,,,,
9000,train,2.028826993,0.0009898215155,0.1581682861,221184000,1400.574458,6.425934695,157923.7711,,,,,,,
9050,train,2.031778529,0.0009896974321,0.1831003875,222412800,1408.166367,6.42679744,157944.9739,,,,,,,
9100,train,2.045606077,0.0009895726051,0.1414378881,223641600,1415.849756,6.427235633,157955.7429,,,,,,,
